graph_idx,num_nodes,num_edges,density,avg_degree,max_degree,avg_clustering,num_components,largest_component
0,13,15,0.19230769230769232,2.3076923076923075,6.0,0.13333333333333333,1,13
1,9,13,0.3611111111111111,2.888888888888889,6.0,0.43333333333333335,1,9
2,64,98,0.04861111111111111,3.0625,27.0,0.30904596560846564,1,64
3,8,9,0.32142857142857145,2.25,7.0,0.34523809523809523,1,8
4,26,30,0.09230769230769231,2.3076923076923075,9.0,0.11132478632478632,1,26
5,9,23,0.6388888888888888,5.111111111111111,8.0,0.7272486772486773,1,9
6,17,27,0.19852941176470587,3.176470588235294,16.0,0.5936274509803922,1,17
7,64,81,0.04017857142857143,2.53125,54.0,0.311101284067086,1,64
8,14,20,0.21978021978021978,2.857142857142857,8.0,0.5556122448979591,1,14
9,24,45,0.16304347826086957,3.75,15.0,0.4533068783068783,1,24
10,12,12,0.18181818181818182,2.0,5.0,0.10555555555555557,1,12
11,21,24,0.11428571428571428,2.2857142857142856,11.0,0.32275132275132273,1,21
12,37,65,0.09759759759759759,3.5135135135135136,19.0,0.37536634378739636,1,37
13,9,23,0.6388888888888888,5.111111111111111,8.0,0.7272486772486773,1,9
14,64,23,0.011408730158730158,0.71875,5.0,0.0,41,13
15,64,132,0.06547619047619048,4.125,50.0,0.599715921694765,1,64
16,25,43,0.14333333333333334,3.44,16.0,0.49376190476190474,1,25
17,27,48,0.13675213675213677,3.5555555555555554,17.0,0.38749312295063937,1,27
18,8,9,0.32142857142857145,2.25,5.0,0.17916666666666667,1,8
19,48,52,0.04609929078014184,2.1666666666666665,34.0,0.210565210932858,1,48
20,64,82,0.040674603174603176,2.5625,15.0,0.2144745879120879,6,57
21,64,22,0.010912698412698412,0.6875,7.0,0.0,42,9
22,8,7,0.25,1.75,4.0,0.0,1,8
23,36,52,0.08253968253968254,2.888888888888889,33.0,0.4350484006734007,1,36
24,11,13,0.23636363636363636,2.3636363636363638,6.0,0.44242424242424244,1,11
25,16,23,0.19166666666666668,2.875,8.0,0.3008928571428572,1,16
26,36,62,0.09841269841269841,3.4444444444444446,23.0,0.42446567120480166,1,36
27,64,23,0.011408730158730158,0.71875,6.0,0.05416666666666667,43,8
28,64,69,0.03422619047619048,2.15625,49.0,0.315250318877551,7,50
29,64,28,0.013888888888888888,0.875,6.0,0.011979166666666666,42,18
30,8,9,0.32142857142857145,2.25,6.0,0.175,1,8
31,27,49,0.1396011396011396,3.6296296296296298,10.0,0.2981187536743092,1,27
32,64,42,0.020833333333333332,1.3125,34.0,0.06255570409982175,24,37
33,10,14,0.3111111111111111,2.8,5.0,0.31666666666666665,1,10
34,19,30,0.17543859649122806,3.1578947368421053,10.0,0.29837092731829573,1,19
35,20,41,0.21578947368421053,4.1,10.0,0.3891269841269841,1,20
36,64,91,0.04513888888888889,2.84375,27.0,0.3135701566951567,1,64
37,39,71,0.09581646423751687,3.641025641025641,21.0,0.5703703703703703,1,39
38,28,74,0.19576719576719576,5.285714285714286,19.0,0.701451677162093,1,28
39,16,28,0.23333333333333334,3.5,8.0,0.28601190476190474,1,16
40,64,84,0.041666666666666664,2.625,56.0,0.265526920995671,1,64
41,35,43,0.07226890756302522,2.4571428571428573,16.0,0.18414965986394558,1,35
42,64,44,0.021825396825396824,1.375,22.0,0.18266932720057721,33,27
43,64,97,0.04811507936507937,3.03125,42.0,0.3179421886548411,9,55
44,20,29,0.15263157894736842,2.9,14.0,0.529441391941392,1,20
45,35,52,0.08739495798319327,2.9714285714285715,19.0,0.49585760939144397,1,35
46,44,67,0.0708245243128964,3.0454545454545454,26.0,0.29264674719220174,1,44
47,64,123,0.06101190476190476,3.84375,49.0,0.4609103421918833,1,64
48,49,78,0.0663265306122449,3.183673469387755,29.0,0.46322656277099034,1,49
49,14,18,0.1978021978021978,2.5714285714285716,11.0,0.24783549783549783,1,14
50,64,71,0.03521825396825397,2.21875,55.0,0.20580281986531984,1,64
51,16,25,0.20833333333333334,3.125,7.0,0.4059523809523809,1,16
52,24,32,0.11594202898550725,2.6666666666666665,10.0,0.2353835978835979,1,24
53,64,83,0.04117063492063492,2.59375,15.0,0.15865124458874458,9,54
54,64,26,0.012896825396825396,0.8125,5.0,0.0,38,9
55,55,80,0.05387205387205387,2.909090909090909,33.0,0.347688246097337,1,55
56,54,76,0.053109713487071976,2.814814814814815,44.0,0.39833402314022465,1,54
57,9,12,0.3333333333333333,2.6666666666666665,6.0,0.29259259259259257,1,9
58,9,9,0.25,2.0,4.0,0.24074074074074073,1,9
59,29,40,0.09852216748768473,2.7586206896551726,18.0,0.22986251972053193,1,29
60,64,48,0.023809523809523808,1.5,12.0,0.08058712121212121,27,34
61,41,50,0.06097560975609756,2.4390243902439024,11.0,0.3090909090909091,1,41
62,64,43,0.02132936507936508,1.34375,36.0,0.12509920634920635,25,37
63,64,18,0.008928571428571428,0.5625,5.0,0.06666666666666668,48,6
